what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368186205585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368186211161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368186213891
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1368186217126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368186251985
error,log,,,"An internal error occurred during: ""Launching createBlankCapOverTime"".",1368186252154
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368186252179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368186253425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368186263460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368186263562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368186264575
error,log,,,"An internal error occurred during: ""Launching createBlankCapOverTime"".",1368186267747
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368186267836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368186268773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1368186269634
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1368186270156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368186270959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368186274696
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368186275442
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1368186278218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368186278977
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368186282115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1368186284674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368186285294
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1368186287447
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368186292161
