what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368267806639
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368267817252
closed,editor,ScenarioModel.diagram,1.0.0.qualifier,"ScenarioModel.diagram.part.ScenarioModelDiagramEditorID",1368267817263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368267823298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270611592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270614136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270620134
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368270621176
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1368270623162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270623424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270632514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270632602
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1368270632787
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1368270632796
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.1.1,"org.tigris.subversion.clientadapter.javahl",1368270632843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270633154
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368270633159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270636810
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270638288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270644923
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1368270652663
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1368270652671
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1368270652677
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1368270652678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270653296
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1368270653347
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1368270653347
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368270656041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368270663325
error,log,,,"org.eclipse.xtext.resource.impl.DefaultResourceDescriptionStrategy  - Qualified name cannot be empty\n",1368270691194
error,log,,,"org.eclipse.xtext.linking.lazy.LazyLinkingResource  - resolution of uriFragment 'xtextLink_::0.0.2::9::/11' failed.\n",1368270691202
error,log,,,"An internal error occurred during: ""Xtext validation"".",1368270691206
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270691256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270692189
error,log,,,"org.eclipse.xtext.resource.impl.DefaultResourceDescriptionStrategy  - Qualified name cannot be empty\n",1368270709484
error,log,,,"org.eclipse.xtext.linking.lazy.LazyLinkingResource  - resolution of uriFragment 'xtextLink_::0.0.2.5.0::9::/11' failed.\n",1368270709489
error,log,,,"An internal error occurred during: ""Xtext validation"".",1368270709492
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270709520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368270710394
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1368270722925
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1368270723382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368270746136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368270837488
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368270845154
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368270846709
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368270848418
opened,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368270850315
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368270850343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1368270853099
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1368270853457
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368270854382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368270856579
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1368270860064
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368270861090
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368270862902
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368270864337
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368270864678
