what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368041485446
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368041488634
activated,editor,org.eclipse.epsilon.eol.dt,0.9.1.201110062346,"org.eclipse.epsilon.eol.dt.editor.EolEditor",1368041489858
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368041504444
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368041506825
activated,editor,org.eclipse.epsilon.eol.dt,0.9.1.201110062346,"org.eclipse.epsilon.eol.dt.editor.EolEditor",1368041507983
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368041510761
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1368041513483
activated,editor,org.eclipse.epsilon.eol.dt,0.9.1.201110062346,"org.eclipse.epsilon.eol.dt.editor.EolEditor",1368041514092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368041514641
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368041520101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368041520934
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368041522308
error,log,,,"An internal error occurred during: ""Launching generateRandomProblem"".",1368041524314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368041524339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368041526555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368041529170
error,log,,,"An internal error occurred during: ""Launching generateRandomProblem"".",1368041531305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368041531340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368041533039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368041534291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368041543065
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368041546698
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368041548307
error,log,,,"An internal error occurred during: ""Launching generateRandomProblem"".",1368041550738
