what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368024667719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368024775979
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368024779462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025092238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025096011
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025109428
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1368025114679
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368025116441
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368025270859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025271915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1368025271946
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025291941
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368025292850
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1368025300898
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368025304665
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368025334553
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368025339752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025342550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025346699
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025360330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025364642
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368025365740
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368025420895
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368025424568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025427397
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025430879
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368025446315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025492194
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025494125
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1368025494173
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1368025494173
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368025518410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1368025519459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1368025519832
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368025521008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368025525102
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368025527442
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025534652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025536656
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1368025536711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1368025536711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025540074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025541835
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1368025541884
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1368025541884
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368025542162
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368025559763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025575723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368025806181
