what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965242384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965246693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965253933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965258633
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965260170
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1367965265675
started,bundle,org.eclipse.gef,3.8.0.201206112118,"org.eclipse.gef",1367965265803
started,bundle,org.eclipse.graphiti,0.9.0.v20120613-0805,"org.eclipse.graphiti",1367965265804
started,bundle,org.eclipse.graphiti.ui,0.9.0.v20120613-0805,"org.eclipse.graphiti.ui",1367965265805
started,bundle,org.eclipse.graphiti.examples.common,0.9.0.v20120613-0805,"org.eclipse.graphiti.examples.common",1367965265805
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965272098
started,bundle,org.eclipse.epsilon.emc.emf.dt,0.9.1.201110062346,"org.eclipse.epsilon.emc.emf.dt",1367965277322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965279284
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1367965279290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965279918
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965283364
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965289627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965320194
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965324952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965394059
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965397654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965446770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965449854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965497980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965501084
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965608375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965612635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965661992
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965665316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965784874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965788280
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965892367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965895986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965920695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965924195
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965942805
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367965946488
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966212943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966213163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966214581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966218928
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966245382
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1367966246572
started,bundle,org.eclipse.gmf.runtime.diagram.core,1.4.1.v20101221-2230,"org.eclipse.gmf.runtime.diagram.core",1367966247650
started,bundle,ScenarioModel.edit,1.0.0.qualifier,"ScenarioModel.edit",1367966247662
started,bundle,ScenarioModel.diagram,1.0.0.qualifier,"ScenarioModel.diagram",1367966247689
started,bundle,org.eclipse.emf.workspace,1.5.1.v20110823-1800,"org.eclipse.emf.workspace",1367966247692
started,bundle,org.eclipse.emf.transaction,1.4.0.v20100331-1738,"org.eclipse.emf.transaction",1367966247699
started,bundle,org.eclipse.gmf.runtime.emf.core,1.4.1.v20101222-2230,"org.eclipse.gmf.runtime.emf.core",1367966247700
started,bundle,org.eclipse.emf.ecoretools.diagram.ui.outline,1.0.0.v20110601-1615,"org.eclipse.emf.ecoretools.diagram.ui.outline",1367966248492
started,bundle,org.eclipse.emf.ecoretools.diagram,1.0.0.v20110601-1615,"org.eclipse.emf.ecoretools.diagram",1367966248500
opened,editor,org.eclipse.epsilon.eol.dt,0.9.1.201110062346,"org.eclipse.epsilon.eol.dt.editor.EolEditor",1367966267878
activated,editor,org.eclipse.epsilon.eol.dt,0.9.1.201110062346,"org.eclipse.epsilon.eol.dt.editor.EolEditor",1367966267902
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1367966271721
started,bundle,org.eclipse.epsilon.flock.dt,0.9.1.201110062346,"org.eclipse.epsilon.flock.dt",1367966271946
opened,editor,org.eclipse.epsilon.flock.dt,0.9.1.201110062346,"org.eclipse.epsilon.migration.dt.editor.MigrationEditor",1367966272004
activated,editor,org.eclipse.epsilon.flock.dt,0.9.1.201110062346,"org.eclipse.epsilon.migration.dt.editor.MigrationEditor",1367966272025
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367966280919
activated,editor,org.eclipse.epsilon.eol.dt,0.9.1.201110062346,"org.eclipse.epsilon.eol.dt.editor.EolEditor",1367966282445
closed,editor,org.eclipse.epsilon.flock.dt,0.9.1.201110062346,"org.eclipse.epsilon.migration.dt.editor.MigrationEditor",1367966282448
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1367966287741
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1367966291358
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1367966293696
activated,editor,org.eclipse.epsilon.eol.dt,0.9.1.201110062346,"org.eclipse.epsilon.eol.dt.editor.EolEditor",1367966301655
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1367966307709
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1367966308158
opened,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1367966308610
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1367966308684
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1367966313796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966385965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966478280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966483422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966537906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966542270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966607846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966612590
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966667607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966671614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966812559
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966816148
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966873771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966877584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966989500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367966993295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367967084354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367967087971
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367967108973
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367967110639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367967112822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367967116364
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367967122255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367967132569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367967186336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367967189145
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367967241097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367967245077
