what,kind,bundleId,bundleVersion,description,time
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368224679130
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368224680052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224684897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224692242
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224703702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224709147
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368224710240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224719398
opened,editor,ScenarioModel.diagram,1.0.0.qualifier,"ScenarioModel.diagram.part.ScenarioModelDiagramEditorID",1368224720129
activated,editor,ScenarioModel.diagram,1.0.0.qualifier,"ScenarioModel.diagram.part.ScenarioModelDiagramEditorID",1368224720297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224720667
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368224766649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224768188
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224791655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224794914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224825440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224828128
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224831214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224832460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224856220
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368224860074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368225191411
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368225193127
closed,editor,ScenarioModel.diagram,1.0.0.qualifier,"ScenarioModel.diagram.part.ScenarioModelDiagramEditorID",1368225193137
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368225193744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368225196438
closed,editor,ScenarioModel.editor,1.0.0.qualifier,"ScenarioModel.presentation.ScenarioModelEditorID",1368225198299
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368225198415
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1368225198469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1368225198469
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368225200012
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368225201115
closed,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368225201117
