what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1368046918696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368046920564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368046922014
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1368046922051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368046923239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368046925842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1368046927140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368046928497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368046947495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368046949829
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368046957439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368046962179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047054819
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368047058647
opened,editor,org.eclipse.epsilon.egl.dt,0.9.1.201110062346,"org.eclipse.epsilon.egl.dt.editor.EglEditor",1368047059788
activated,editor,org.eclipse.epsilon.egl.dt,0.9.1.201110062346,"org.eclipse.epsilon.egl.dt.editor.EglEditor",1368047059804
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368047073115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047081089
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047086260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047140194
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047489309
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047496577
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047640355
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368047642337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047657436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047708603
activated,editor,org.eclipse.epsilon.egl.dt,0.9.1.201110062346,"org.eclipse.epsilon.egl.dt.editor.EglEditor",1368047712578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368047723202
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368047741290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047758816
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047788169
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047791223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047839216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047844000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047919766
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047920578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047922171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047925826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047937296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047942809
closed,editor,ScenarioModel.editor,1.0.0.qualifier,"ScenarioModel.presentation.ScenarioModelEditorID",1368047945282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047945438
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1368047945493
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1368047945494
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368047946528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048284109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048285041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048339136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048340484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048341883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048345043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048413691
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048417212
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048428074
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048431937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048535203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048536208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048537670
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048540758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048596027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048596882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048598383
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048603320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048605864
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1368048605908
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1368048605908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048608429
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048636481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048636539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048637686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048640180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048667997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048670920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048711136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048712910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048713080
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048714224
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048714344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048716959
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048748756
activated,editor,org.xtext.Scenario.ui,1.0.0.qualifier,"org.xtext.Scenario",1368048751897
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048776264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048781071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048781368
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048782559
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368048785617
