what,kind,bundleId,bundleVersion,description,time
started,bundle,org.xtext.Scenario,1.0.0.qualifier,"org.xtext.Scenario",1368216010883
started,bundle,org.eclipse.xtext.ui.codetemplates.ui,2.4.0.v201212180716,"org.eclipse.xtext.ui.codetemplates.ui",1368216012234
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1368216012363
started,bundle,org.eclipse.epsilon.examples.tools,1.0.0.qualifier,"org.eclipse.epsilon.examples.tools",1368216012894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216013469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216018984
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368216022331
started,bundle,org.eclipse.graphiti,0.9.0.v20120613-0805,"org.eclipse.graphiti",1368216023252
started,bundle,org.eclipse.graphiti.ui,0.9.0.v20120613-0805,"org.eclipse.graphiti.ui",1368216023255
started,bundle,org.eclipse.graphiti.examples.common,0.9.0.v20120613-0805,"org.eclipse.graphiti.examples.common",1368216023257
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1368216028303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216028482
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1368216030861
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1368216030861
opened,editor,CapabilityOverTime.diagram,1.0.0.qualifier,"CapOverTime.diagram.part.CapOverTimeDiagramEditorID",1368216031289
closed,editor,ScenarioModel.diagram,1.0.0.qualifier,"ScenarioModel.diagram.part.ScenarioModelDiagramEditorID",1368216031720
started,bundle,org.eclipse.xtend.ide,2.4.0.v201212180716,"org.eclipse.xtend.ide",1368216032263
started,bundle,org.eclipse.xtext.xbase.ui,2.4.0.v201212180716,"org.eclipse.xtext.xbase.ui",1368216032432
started,bundle,org.eclipse.xtend.macro.lang.ui,2.4.0.v201212180716,"org.eclipse.xtend.macro.lang.ui",1368216033740
started,bundle,org.eclipse.xtext.purexbase.ui,2.4.0.v201212180716,"org.eclipse.xtext.purexbase.ui",1368216034303
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216074206
activated,editor,CapabilityOverTime.diagram,1.0.0.qualifier,"CapOverTime.diagram.part.CapOverTimeDiagramEditorID",1368216077800
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368216079396
closed,editor,CapabilityOverTime.diagram,1.0.0.qualifier,"CapOverTime.diagram.part.CapOverTimeDiagramEditorID",1368216079397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216081927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216115548
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216117165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216118642
opened,editor,org.eclipse.epsilon.eol.dt,0.9.1.201110062346,"org.eclipse.epsilon.eol.dt.editor.EolEditor",1368216126499
activated,editor,org.eclipse.epsilon.eol.dt,0.9.1.201110062346,"org.eclipse.epsilon.eol.dt.editor.EolEditor",1368216126525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216140761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216199455
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368216202946
started,bundle,org.eclipse.emf.ecoretools.diagram.ui.outline,1.0.0.v20110601-1615,"org.eclipse.emf.ecoretools.diagram.ui.outline",1368216203716
started,bundle,ScenarioModel.editor,1.0.0.qualifier,"ScenarioModel.editor",1368216206109
opened,editor,ScenarioModel.editor,1.0.0.qualifier,"ScenarioModel.presentation.ScenarioModelEditorID",1368216206234
activated,editor,ScenarioModel.editor,1.0.0.qualifier,"ScenarioModel.presentation.ScenarioModelEditorID",1368216206279
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1368216210589
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.PropertySheet",1368216210609
activated,editor,ScenarioModel.editor,1.0.0.qualifier,"ScenarioModel.presentation.ScenarioModelEditorID",1368216213474
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216217176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216267489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216268673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216269399
