what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.xtend.macro.lang,2.4.0.v201212180716,"org.eclipse.xtend.macro.lang",1368215911252
started,bundle,org.eclipse.ocl.uml,3.1.0.v20110913-1213,"org.eclipse.ocl.uml",1368215911323
started,bundle,org.eclipse.acceleo.profiler,3.1.0.v20110607-0602,"org.eclipse.acceleo.profiler",1368215911392
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1368215911431
started,bundle,org.eclipse.emf.compare.diff,1.2.2.v20120214-0915,"org.eclipse.emf.compare.diff",1368215911454
started,bundle,org.eclipse.emf.mapping.ecore2xml,2.7.0.v20120130-0943,"org.eclipse.emf.mapping.ecore2xml",1368215911478
started,bundle,org.eclipse.emf.ecore.change,2.7.1.v20120127-1122,"org.eclipse.emf.ecore.change",1368215911485
started,bundle,org.eclipse.emf.mapping.xsd2ecore,2.5.0.v20120130-0943,"org.eclipse.emf.mapping.xsd2ecore",1368215911514
started,bundle,org.eclipse.epsilon.hutn.model,0.8.1.201110062346,"org.eclipse.epsilon.hutn.model",1368215911520
started,bundle,org.eclipse.xtext.generator,2.4.0.v201212180716,"org.eclipse.xtext.generator",1368215911544
started,bundle,org.eclipse.epsilon.evl.emf.validation,0.9.1.201110062346,"org.eclipse.epsilon.evl.emf.validation",1368215911580
started,bundle,org.eclipse.epsilon.util.emf,0.9.1.201110062346,"org.eclipse.epsilon.util.emf",1368215911587
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1368215911641
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1368215911658
started,bundle,org.eclipse.swtbot.eclipse.ui,2.0.5.20111003_1754-3676ac8-dev-e36,"org.eclipse.swtbot.eclipse.ui",1368215911669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368215911931
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368215912107
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1368215915778
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1368215917137
started,bundle,org.eclipse.pde.build,3.7.0.v20110512-1320,"org.eclipse.pde.build",1368215917432
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1368215917689
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1368215917790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368215920104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216246246
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1368216259815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216265489
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216268677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216269395
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368216280844
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216280951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368216283125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368217342360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368217344490
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368217372677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368217374698
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368217376519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368217391180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368217392845
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368217395009
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368218140525
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1368218141143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368218157779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368219249664
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368219255009
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368219478817
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1368219481056
started,bundle,org.eclipse.gymnast.runtime.ui,0.7.0.200810132307,"org.eclipse.gymnast.runtime.ui",1368219482484
started,bundle,org.eclipse.emf.emfatic.ui,0.7.0.200810132307,"org.eclipse.emf.emfatic.ui",1368219482490
started,bundle,org.eclipse.gymnast.runtime.core,0.7.0.200810132307,"org.eclipse.gymnast.runtime.core",1368219482498
started,bundle,org.eclipse.emf.emfatic.core,0.7.0.200810132307,"org.eclipse.emf.emfatic.core",1368219482500
opened,editor,org.eclipse.emf.emfatic.ui,0.7.0.200810132307,"org.eclipse.emf.emfatic.ui.editor.EmfaticEditor",1368219483107
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1368219483206
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1368219483208
activated,editor,org.eclipse.emf.emfatic.ui,0.7.0.200810132307,"org.eclipse.emf.emfatic.ui.editor.EmfaticEditor",1368219483283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368219485972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1368219486027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368219488634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368219492550
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1368219492598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368219497119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368219512568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368219650236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368219654006
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368219655336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368219655412
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368219656480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368219664848
