what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368105914605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368105936314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368105995634
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368105997616
opened,editor,org.eclipse.xtext.xtext.ui,2.4.0.v201212180716,"org.eclipse.xtext.Xtext",1368106006363
activated,editor,org.eclipse.xtext.xtext.ui,2.4.0.v201212180716,"org.eclipse.xtext.Xtext",1368106006539
closed,editor,org.eclipse.emf.emfatic.ui,0.7.0.200810132307,"org.eclipse.emf.emfatic.ui.editor.EmfaticEditor",1368106010394
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1368106010412
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368106029181
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368106033505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368106045887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368106917865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368106922106
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368106926608
executed,command,,,"org.eclipse.emf.mwe2.launch.shortcut1.run",1368106930458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1368106933457
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368106934627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368106936315
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368106936761
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1368106955846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368106957773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368106958862
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368106959271
executed,command,,,"org.eclipse.emf.mwe2.launch.shortcut1.run",1368106968322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368107016369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368107151186
opened,editor,org.eclipse.emf.emfatic.ui,0.7.0.200810132307,"org.eclipse.emf.emfatic.ui.editor.EmfaticEditor",1368107155763
activated,editor,org.eclipse.emf.emfatic.ui,0.7.0.200810132307,"org.eclipse.emf.emfatic.ui.editor.EmfaticEditor",1368107155824
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368107157285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1368107157331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368107161386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368107164969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368107229912
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368107231179
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1368107231219
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368107236045
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1368107238837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368107239556
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368107249913
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1368107253263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368107253974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368107278053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368107280101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368111932660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368111933285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112039291
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112042110
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1368112042149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112045593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112046696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112053451
activated,editor,org.eclipse.xtext.xtext.ui,2.4.0.v201212180716,"org.eclipse.xtext.Xtext",1368112055014
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112056265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1368112056305
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112060545
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368112061985
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1368112069519
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1368112069676
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1368112069805
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112071024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1368112071068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112074892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1368112080483
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368112081919
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1368112084893
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1368112084896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368112085657
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368112090989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112092170
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112096867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112100497
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112362175
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1368112364848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112365821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112516363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112517541
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112527191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112530178
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112841352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112842436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112843586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112849160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112939869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112962159
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112992770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368112997667
