what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191310307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191311388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191317506
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368191321442
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368191327828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191332744
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368191343602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191343715
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1368191347482
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368191357882
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368191360386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191365378
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191370425
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1368191371017
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1368191371856
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191378567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191447901
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1368191450043
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1368191450820
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191455614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191460871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368191463218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191464602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191468675
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1368191470452
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191475573
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368191490814
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191490955
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191496408
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191500419
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1368191509759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191521810
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191524304
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191524352
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368191533192
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191533307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191535236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191536849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191536954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191537350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368191537359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191541917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191542156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191546219
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191546574
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1368191547690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191550949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191556428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191558654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191598227
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1368191603733
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368191616158
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1368191618298
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368191634958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191654783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191654972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191658384
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191658595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191658619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191659216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191663871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191664080
opened,editor,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui.manifestEditor",1368191678261
activated,editor,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui.manifestEditor",1368191678349
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368191694208
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1368191698385
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191698516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191698863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191703319
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191719196
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368191721612
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191728528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191728694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191730971
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191731158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191731186
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191731741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191738928
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191739142
activated,editor,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui.manifestEditor",1368191741092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191743810
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191757341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191759522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191767330
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1368191768214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191768314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191768676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191772281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191774155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191776787
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368191791243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191791342
activated,editor,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui.manifestEditor",1368191792685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191795899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191808109
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368191811764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191829711
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191867095
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1368191867247
opened,editor,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui.manifestEditor",1368191867743
activated,editor,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui.manifestEditor",1368191867799
activated,editor,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui.manifestEditor",1368191871278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191873017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191875131
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368191875901
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1368191879002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191879116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191879463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368191889669
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368192001756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192001856
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1368192002858
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368192005711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368192006513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192010924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192014981
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368192027027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192032149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192049390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368192050051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192058452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192077283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368192079284
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368192081335
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368192085207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192088585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192093533
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1368192095891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192097340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192097623
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1368192099445
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192101199
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192101531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192105599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192110725
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1368192114212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368192114739
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1368192116997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192118159
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192118426
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368192119763
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1368192121036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192121167
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192121530
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1368192122501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192128604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192148758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192150112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368192168337
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1368192177195
started,bundle,org.eclipse.pde.api.tools,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools",1368192177257
started,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1368192177259
started,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1368192177260
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368192186478
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1368192195293
